case_id,tickets_last_7d,avg_aht_seconds,adherence_pct,schedule_variance_min,tenure_days,training_completed,language_group,sla_risk
ML-0001,5,359,81.85,-32,1278,1,Bilingual,0
ML-0002,30,619,91.54,71,1170,1,EN,1
ML-0003,21,455,82.59,40,1340,1,EN,1
ML-0004,21,689,91.22,20,1273,0,Bilingual,1
ML-0005,22,329,78.11,-20,584,0,ES,1
ML-0006,37,425,82.22,66,1257,0,EN,1
ML-0007,32,385,90.8,-1,924,0,ES,0
ML-0008,24,415,86.62,69,713,1,EN,0
ML-0009,15,698,79.83,49,1230,0,ES,1
ML-0010,30,588,81.46,-27,456,1,EN,1
ML-0011,10,643,93.78,19,459,1,EN,0
ML-0012,30,671,85.01,8,549,0,EN,1
ML-0013,15,323,97.55,-29,764,1,ES,0
ML-0014,22,719,82.46,-33,127,1,ES,1
ML-0015,33,410,86.7,-1,419,0,ES,1
ML-0016,15,546,79.91,-8,788,1,ES,1
ML-0017,8,638,97.44,35,1273,0,Bilingual,0
ML-0018,21,405,84.47,5,157,1,EN,0
ML-0019,18,627,89.19,17,1241,1,Bilingual,1
ML-0020,44,603,93.43,-29,385,1,Bilingual,1
ML-0021,27,617,91.76,-10,1248,1,Bilingual,0
ML-0022,11,553,88.16,74,141,0,Bilingual,1
ML-0023,16,316,82.27,19,1325,1,ES,0
ML-0024,22,535,79.79,3,127,0,Bilingual,1
ML-0025,10,467,78.52,65,938,0,EN,1
ML-0026,41,379,96.67,41,495,0,Bilingual,1
ML-0027,22,706,83.9,-23,609,1,Bilingual,1
ML-0028,40,589,88.74,-33,1163,0,ES,1
ML-0029,22,331,96.04,-31,1185,1,ES,0
ML-0030,39,460,86.99,-15,484,1,ES,0
ML-0031,25,436,82.94,70,231,1,Bilingual,1
ML-0032,17,330,96.23,73,647,0,Bilingual,1
ML-0033,8,604,92.61,50,744,1,Bilingual,1
ML-0034,29,475,95.67,48,630,0,EN,1
ML-0035,27,691,86.71,-15,888,0,EN,1
ML-0036,26,706,78.84,-17,611,1,EN,1
ML-0037,8,634,82.8,64,328,1,EN,1
ML-0038,1,315,80.4,-4,1151,1,ES,0
ML-0039,40,680,95.18,61,1192,1,ES,1
ML-0040,18,712,81.57,19,798,1,EN,1
ML-0041,15,696,83.6,-17,1055,1,ES,0
ML-0042,44,391,81.39,12,317,0,EN,1
ML-0043,44,727,91.71,-24,149,0,Bilingual,1
ML-0044,10,346,92.55,52,80,0,ES,0
ML-0045,5,575,78.17,50,860,1,EN,1
ML-0046,22,708,92.78,13,411,0,Bilingual,1
ML-0047,34,727,81.01,16,1075,0,Bilingual,1
ML-0048,19,553,87.26,-9,845,0,EN,0
ML-0049,1,708,96.46,71,1228,1,ES,1
ML-0050,40,384,89.33,11,902,1,ES,0
ML-0051,13,518,78.64,79,547,0,Bilingual,1
ML-0052,5,521,84.25,17,264,0,ES,1
ML-0053,9,454,90.3,36,1133,1,Bilingual,0
ML-0054,36,494,91.27,76,66,1,EN,1
ML-0055,9,630,83.32,66,190,1,EN,1
ML-0056,28,396,79.65,62,364,0,EN,1
ML-0057,21,694,96.82,24,304,0,ES,1
ML-0058,9,393,97.52,-3,1268,1,ES,0
ML-0059,45,360,78.33,52,1095,0,Bilingual,1
ML-0060,7,698,96.88,7,1054,1,EN,0
ML-0061,2,599,86.83,35,97,0,ES,0
ML-0062,32,309,82.15,-24,673,1,Bilingual,1
ML-0063,27,462,94.02,61,1070,1,Bilingual,1
ML-0064,14,361,88.74,76,148,1,Bilingual,1
ML-0065,43,643,95.35,73,140,1,EN,1
ML-0066,23,679,85.21,-32,1327,0,ES,1
ML-0067,26,584,84.76,32,1153,0,ES,1
ML-0068,27,589,90.7,-37,40,0,ES,0
ML-0069,4,508,97.81,65,122,0,ES,0
ML-0070,8,324,80.86,6,138,0,EN,0
ML-0071,36,457,95.42,63,248,0,EN,1
ML-0072,10,603,92.7,42,941,1,EN,1
ML-0073,8,716,95.48,17,574,0,ES,0
ML-0074,1,466,80.11,41,1158,1,EN,1
ML-0075,37,494,85.5,71,830,0,ES,1
ML-0076,31,693,78.54,41,846,0,Bilingual,1
ML-0077,44,493,90.78,-36,1090,0,ES,1
ML-0078,22,743,93.57,-39,864,0,EN,1
ML-0079,30,695,85.15,-33,173,0,Bilingual,1
ML-0080,0,655,84.91,9,154,1,ES,0
ML-0081,19,729,87.28,13,1027,1,ES,1
ML-0082,41,749,91.45,45,164,0,Bilingual,1
ML-0083,41,423,96.77,49,241,1,ES,1
ML-0084,29,533,81.29,45,291,1,Bilingual,1
ML-0085,40,622,82.8,2,257,1,EN,1
ML-0086,33,501,81.68,-5,715,0,ES,1
ML-0087,11,302,85.8,-3,779,1,Bilingual,0
ML-0088,5,447,89.29,-38,874,0,EN,0
ML-0089,4,659,78.4,58,423,0,Bilingual,1
ML-0090,34,649,96.18,-24,636,0,Bilingual,1
ML-0091,17,485,81.78,11,1268,1,ES,0
ML-0092,21,312,89.35,-23,216,0,Bilingual,0
ML-0093,20,366,80.61,5,692,0,ES,1
ML-0094,40,520,94.04,63,1030,1,EN,1
ML-0095,4,745,78.29,56,424,0,ES,1
ML-0096,1,334,83.51,-16,573,0,Bilingual,0
ML-0097,0,341,92.04,34,642,0,Bilingual,0
